artist,date,venue,city,region,country,performers
Briston Maroney,2019-05-30T20:00:00-0600,Downtown Artery,Fort Collins,CO,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-28T20:00:00-0600,Kilby Court,Salt Lake City,UT,US,"['Liz Cooper', 'Briston Maroney', 'Harpers (US)']"
Briston Maroney,2019-05-21T20:00:00-0600,Top Hat,Missoula,MT,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-18T20:00:00-0700,The Bartlett,Spokane,WA,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-16T20:00:00-0700,Biltmore Cabaret,Vancouver,BC,Canada,"['Liz Cooper', 'Briston Maroney', 'Emily Chambers']"
Briston Maroney,2019-05-15T20:00:00-0700,Tractor Tavern,Seattle,WA,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-14T20:00:00-0700,Doug Fir Lounge,Portland,OR,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-12T20:00:00-0700,The Chapel,San Francisco,CA,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-11T21:00:00-0700,The Catalyst,Santa Cruz,CA,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-09T20:00:00-0700,The Echo,Los Angeles (LA),CA,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-08T21:30:00-0700,Casbah,San Diego,CA,US,"['Liz Cooper', 'Briston Maroney', 'Dani Bell & The Tarantist']"
Briston Maroney,2019-05-08T19:00:00-0700,Casbah,San Diego,CA,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-07T19:00:00-0700,The Rebel Lounge,Phoenix,AZ,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-04T19:00:00-0500,Ruins,Dallas,TX,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-03T19:00:00-0500,White Oak Music Hall - Upstairs,Houston,TX,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-05-02T20:00:00-0500,Antone's,Austin,TX,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-04-30,Blue Canoe,Tupelo,MS,US,"['Liz Cooper', 'Briston Maroney']"
Briston Maroney,2019-04-13T20:00:00-0500,The Basement,Nashville,TN,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-12T20:00:00-0500,Downstairs (at SubT),Chicago,IL,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-10T19:00:00-0400,Rialto Theatre,Akron,OH,US,"['Vacation Manor', 'Briston Maroney', 'Motherfolk']"
Briston Maroney,2019-04-09T20:00:00-0400,Rochester,Rochester,NY,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-07T17:30:00-0400,Mercury Lounge,New York (NYC),NY,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-06T20:00:00-0400,Bourbon & Branch,Philadelphia,PA,US,"['Vacation Manor', 'Briston Maroney', 'Marielle Kraft']"
Briston Maroney,2019-04-05T20:00:00-0400,Pearl Street Warehouse,Washington,DC,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-04T20:00:00-0400,Capital Ale House Music Hall,Richmond,VA,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-03T19:00:00-0400,The Golden Pony,Harrisonburg,VA,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-04-01T19:00:00-0400,Kings,Raleigh,NC,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-03-31T07:00:00-0400,The Evening Muse,Charlotte,NC,US,"['Vacation Manor', 'Briston Maroney', 'Leffty']"
Briston Maroney,2019-03-29T19:00:00-0400,The Ellington,Lynchburg,VA,US,"['Vacation Manor', 'Briston Maroney']"
Briston Maroney,2019-03-11T15:00:00-0500,Love Goat,Austin,TX,US,"['Hate Drugs', 'Lunar Vacation', 'Harbour', 'Briston Maroney', 'Dayglow', 'Arms Akimbo (US)', 'Derek Ted', 'Baby FuzZ', 'Love You Later', 'Sea Moya', 'Coma Pony', 'Camp Howard', 'Fashion Jackson', 'Moth Wings', 'Nordista Freeze', ""Daddy's Beemer"", 'Superbody', 'Slow Caves', 'Feeves', 'Don Babylon', 'worlds greatest dad', 'Sad Cops', 'Faze Wave', 'Sleeping Jesus']"
Briston Maroney,2019-02-22T18:00:00-0500,Philadelphia,Philadelphia,PA,US,"['Briston Maroney', 'Ocean Heights', 'Nematode']"
Briston Maroney,2019-02-06T08:00:00-0600,Knoxville,Knoxville,TN,US,"['Vanosdale', 'Briston Maroney', 'Top Nachos', 'Nordista Freeze']"
Briston Maroney,2019-01-17T20:00:00-0600,Exit/In,Nashville,TN,US,"['Lucie Silvas', 'Briston Maroney', 'The Brummies', 'Luke Dick']"
Briston Maroney,2018-12-07T20:00:00-0600,Mercy Lounge,Nashville,TN,US,"['Arlie', 'Briston Maroney']"
Briston Maroney,2018-11-09T20:00:00-0600,The East Room,Nashville,TN,US,"['Briston Maroney', 'Joelton Mayfield', 'Grumpy']"
Briston Maroney,2018-11-08T20:00:00-0600,The Basement East,Nashville,TN,US,"['Savannah Conley', 'the prescriptions', 'Briston Maroney']"
Briston Maroney,2018-11-05T19:00:00-0600,Humphreys Street Coffee,Nashville,TN,US,"['Jordy Searcy', 'Briston Maroney', 'Carly Bannister']"
Briston Maroney,2018-10-27T19:00:00-0500,OOKO Studios,Nashville,TN,US,"['Rock Eupora', 'Briston Maroney', 'Nordista Freeze', 'Ally']"
Briston Maroney,2018-09-04T20:00:00-0500,The High Watt,Nashville,TN,US,"['Little Image', 'Mountains Like Wax', 'Briston Maroney']"
Briston Maroney,2018-07-13T19:00:00-0500,116 E. Mobile,Florence,AL,US,"['Briston Maroney', 'Vanosdale', 'Gold Wave']"
Briston Maroney,2018-05-31T19:00:00-0500,Nashville,Nashville,TN,US,"['Briston Maroney', 'Ethansroom', 'Luke Krutzke & The High Tides']"
Briston Maroney,2018-05-02T20:00:00-0500,The East Room,Nashville,TN,US,"['Corey Kilgannon', 'Brazen Youth', 'Briston Maroney']"
Briston Maroney,2018-01-06T19:00:00-0600,The Open Chord,Knoxville,TN,US,"['Briston Maroney', 'Luke Krutzke & The High Tides', 'Vanosdale']"
Briston Maroney,2017-12-08T07:00:00-0600,Bobby's Idle Hour,Nashville,TN,US,"['Briston Maroney', 'Future Crib']"
Briston Maroney,2017-08-26,Sunset On Central 2017,Knoxville,TN,US,['Briston Maroney']
