artist,date,venue,city,region,country,performers
The Greeting Committee,2015-08-09T20:00:00-0500,recordBar,Kansas City,MO,US,"['Civil Twilight', 'The Greeting Committee']"
The Greeting Committee,2015-06-14T20:00:00-0500,Tank Room,Kansas City,MO,US,"['Jakubi', 'Parlour Tricks', 'The Greeting Committee']"
The Greeting Committee,2014-05-09,Royal Pavilion Tavern (Pav Tav),Brighton,,UK,['The Greeting Committee']
The Greeting Committee,2013-03-13,The Cluny,Newcastle Upon Tyne,,UK,"['The Greeting Committee', 'Albion Row', 'Human Sacrifice Club']"
The Greeting Committee,2012-10-21,Oxjam Newcastle Takeover 2012,Newcastle Upon Tyne,,UK,['The Greeting Committee']
The Greeting Committee,2012-05-17,The Hope and Ruin,Brighton,,UK,"['Nitzam', 'Nightworkers', 'The Valentines', 'The Greeting Committee', 'Ragweed']"
The Greeting Committee,2012-04-06,Warehouse 34,Newcastle Upon Tyne,,UK,"['Beak>', 'Frankie & The Heartstrings', 'Collectors Club', 'The Greeting Committee', 'The Prison Library', 'Hatcham Social', 'Shields', 'We Beat the System', 'The Castells']"
The Greeting Committee,2011-12-02,The Other Rooms,Newcastle Upon Tyne,,UK,"['The Greeting Committee', 'Symphonic Pictures']"
The Greeting Committee,2011-11-13T20:00:00+0000,The Cluny,Newcastle Upon Tyne,,UK,"['The Moons', 'The Captive Hearts', 'The Greeting Committee']"
The Greeting Committee,2011-07-30,Clarence Park Festival 2011,Wakefield,,UK,['The Greeting Committee']
The Greeting Committee,2011-07-29,No 28 Bar,Newcastle Upon Tyne,,UK,"['The Castells', 'The Greeting Committee', 'The Love Uprising']"
